gender,age,grade_aggregate,dream_job,fav_sub1,fav_sub2,fav_sub3,interest,learning_style,selected_program
Male ,23,21,Public Relations Specialist,English Language,Social Studies,Business,Public Relations,Verbal,Bachelor of Arts Full-Fee Paying
Female,18,16,Advertising Copywriter,English Language,Creative Arts,Business,Advertising,Verbal,Bachelor of Arts (General Arts Background)
Female,24,19,Actor,English Language,Theater Arts,Creative Arts,Performing Arts,Kinesthetic,Bachelor of Arts City Campus
Male ,14,6,Museum Curator,General Knowledge in Art,History,Creative Arts,History,Visual,Bachelor of Arts (General Arts Background)
Female,26,7,Athletic Director,Physical Education,Business,Social Studies,Sports,Social,BA. Sports and Physical Culture
Male ,26,14,Research Scientist,Biology,Chemistry,Physics,Science,Logical,Doctor of Veterinary Medicine
Male ,26,16,Information Technology Manager,ICT,Mathematics,Business,Technology,Analytical,BSc. Mathematical Sciences
Female,28,12,Regulatory Affairs Specialist,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering
Female,15,26,Business Development Manager,Business,Economics,Mathematics,Business,Verbal,BSc. Administration - Distance Education
Female,22,18,Materials Engineer,Physics,Chemistry,Mathematics,Engineering,Visual,BSc. Materials Science & Engineering (Full-Feepaying)
Male ,14,14,Information Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology (Full-Feepaying)
Male ,15,13,Public Relations Manager,English Language,Business,Social Studies,Communications,Verbal,BSc. Administration - Legon Campus (Full-Fee Paying)
Male ,20,6,Pediatrician,Biology,Chemistry,Physics,Science,Verbal,Bachelor of Medicine
Female,19,19,Packaging Engineer,Physics,Mathematics,Chemistry,Food Science,Logical,BSc. Food Process Engineering (Full-Feepaying)
Male ,18,9,Nurse Midwife,Biology,Chemistry,English Language,Science,Social,BSc. Nursing
Male ,28,7,Human Rights Advocate,English Language,Social Studies,French,Politics,Social,Bachelor of Law
Female,28,14,Geriatric Physical Therapist,Biology,Social Studies,History,History,Social,BSc. Physiotherapy
Male ,17,8,Water Resource Engineer,Mathematics,Physics,Chemistry,Environment,Logical,BSc. Agricultural Engineering
Male ,16,11,Public Relations Specialist,English Language,Social Studies,Business,Public Relations,Verbal,Bachelor of Arts (Business/Science/ Vocational Background)
Female,18,18,Applications Architect,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology - Distance Education
Male ,20,16,Event Planner,Business,Creative Arts,English Language,Event Planning,Social,Bachelor of Arts (General Arts Background)
Female,14,9,Public Health Dentist,Biology,Chemistry,English Language,Science,Analytical,Bachelor of Dental Surgery
Male ,20,8,Network Security Engineer,Mathematics,Mathematics,ICT,Technology,Analytical,BSc. Computer Engineering
Female,20,17,Director,Creative Arts,English Language,History,Arts,Visual,Bachelor of Fine Arts
Male ,21,14,Museum Curator,General Knowledge in Art,History,Creative Arts,History,Visual,Bachelor of Arts (General Arts Background)
Female,21,13,Advertising Manager,English Language,Business,Business,Marketing,Verbal,BSc. Administration - Legon Campus (Full-Fee Paying)
Female,27,21,Web Developer,ICT,Mathematics,Creative Arts,Technology,Visual,BSc. Information Technology - Distance Education
Male ,30,6,Nurse Practitioner,Biology,Chemistry,Mathematics,Science,Logical,BSc. Nursing
Female,18,7,Public Relations Manager,English Language,Business,Social Studies,Communications,Verbal,BSc. Administration - Legon Campus
Male ,24,10,Manufacturing Manager,Mathematics,Physics,Chemistry,Food Science,Analytical,BSc. Food Process Engineering
Female,31,9,Software Architect,Mathematics,ICT,Mathematics,Technology,Logical,BSc. Computer Engineering
Female,18,11,Molecular Biology Technologist,Biology,Chemistry,Science,Science,Analytical,BSc. Medical Laboratory Sciences
Male ,16,13,IT Manager,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology (Full-Feepaying)
Female,16,6,Nutritionist,Biology,Chemistry,Home Economics,Nutrition,Verbal,BSc. Nutrition & Dietetics
Male ,19,7,Full-Stack Developer,ICT,Mathematics,ICT,Technology,Logical,BSc. Computer Engineering
Female,15,13,Artificial Intelligence Engineer,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology (Full-Feepaying)
Male ,25,22,Historian,History,Social Studies,English Language,History,Verbal,Bachelor of Arts Full-Fee Paying
Female,20,16,Public Relations Specialist,English Language,English Language,Business,Communications,Verbal,BSc. Administration - City Campus
Female,19,6,Anesthesiologist,Biology,Chemistry,Physics,Science,Logical,Bachelor of Surgery
Male ,18,24,Meteorologist,Physics,Mathematics,Geography,Science,Logical,BSc. Earth Sciences
Female,19,16,Online Instructor,English Language,Mathematics,ICT,Education,Verbal,BA. Education
Female,17,20,School Administrator,English Language,Social Studies,Religious and Moral Education,Education,Social,BA. Education
Male ,17,19,Product Manager,ICT,Business,Mathematics,Business,Analytical,BSc. Mathematical Sciences
Male ,21,16,IT Manager,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology - Distance Education
Female,14,21,Teacher,English Language,Mathematics,Social Studies,Education,Verbal,BA. Education
Female,22,12,Artificial Intelligence Engineer,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology
Male ,24,9,Nutrition Education Coordinator,Biology,Chemistry,Social Studies,Education,Verbal,BSc. Nutrition & Dietetics
Male ,25,14,Agricultural Engineer,Mathematics,Physics,Chemistry,Agriculture,Logical,BSc. Agricultural Engineering
Male ,25,13,Financial Analyst,Mathematics,Economics,Business,Finance,Logical,BSc. Administration - Legon Campus (Full-Fee Paying)
Female,31,24,Foreign Language Teacher,French,Linguistics,Linguistics,Languages,Verbal,Bachelor of Arts Full-Fee Paying
Female,19,11,Nutritionist,Biology,Home Business Studies,Chemistry,Cooking,Analytical,BSc. Biological Sciences
Male ,24,21,Agricultural Sales Representative,Business,Agricultural Science,Economics,Agriculture,Social,BSc. Agricultural Engineering
Male ,24,6,User Interface Designer,Creative Arts,ICT,English Language,Arts,Visual,BSc. Mathematical Sciences
Female,31,8,IT Project Manager,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology
Male ,28,6,Oceanographer,Biology,Chemistry,Physics,Science,Naturalistic,BSc. Earth Sciences
Male ,18,6,Medical Lab Technologist,Biology,Chemistry,Science,Science,Logical,BSc. Medical Laboratory Sciences
Female,18,24,Market Research Analyst,Mathematics,Mathematics,Business,Marketing,Logical,BSc. Administration - City Campus
Male ,27,7,Systems Analyst,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology
Female,23,6,Laboratory Director,Biology,Chemistry,Business,Science,Logical,BSc. Medical Laboratory Sciences
Male ,17,7,Pathologist Assistant,Biology,Chemistry,Science,Science,Verbal,BSc. Medical Laboratory Sciences
Female,14,18,Occupational Therapist,Psychology,Social Studies,History,Humanities,Verbal,BSc. Occupational Therapy
Female,22,6,IT Security Specialist,Mathematics,Mathematics,ICT,Technology,Analytical,BSc. Computer Engineering
Female,30,7,Space Scientist,Physics,Mathematics,Science,Science,Analytical,BSc. Physical Sciences
Male ,21,14,Educational Psychologist,Psychology,Social Studies,English Language,Education,Verbal,BSc. Psychology
Male ,23,9,DevOps Engineer,Mathematics,ICT,Physics,Technology,Logical,BSc. Mathematical Sciences
Male ,21,7,Network Security Engineer,Mathematics,Mathematics,ICT,Technology,Analytical,BSc. Computer Engineering
Male ,25,8,Pediatric Nurse,Biology,Chemistry,English Language,Science,Musical,BSc. Nursing
Male ,29,7,Project Manager,Business,Mathematics,Physics,Business,Logical,BSc. Administration - Legon Campus
Female,28,14,Paleontologist,Science,Biology,Chemistry,Science,Verbal,BSc. Earth Sciences
Male ,20,8,Hardware Design Engineer,General Knowledge in Art,Physics,Mathematics,Technology,Spatial,BSc. Computer Engineering
Male ,23,18,Textile Designer,Creative Arts,General Knowledge in Art,English Language,Fashion,Visual,BSc. Food & Clothing
Female,16,6,Environmental health and safety specialist,Chemistry,Biology,Physics,Science,Global,BSc. Biological Sciences
Female,18,7,Anesthesiologist,Biology,Chemistry,Physics,Science,Logical,Bachelor of Surgery
Male ,19,19,Manufacturing Manager,Mathematics,Physics,Chemistry,Food Science,Analytical,BSc. Food Process Engineering (Full-Feepaying)
Female,29,8,Advertising Copywriter,English Language,Creative Arts,Business,Advertising,Verbal,Bachelor of Arts (General Arts Background)
Female,25,18,Occupational Therapist,Psychology,Social Studies,History,Humanities,Verbal,BSc. Occupational Therapy
Male ,20,7,Information Systems Security Manager,ICT,Mathematics,Mathematics,Technology,Analytical,BSc. Mathematical Sciences
Female,22,18,Actor,English Language,Theater Arts,Creative Arts,Performing Arts,Kinesthetic,Bachelor of Arts Full-Fee Paying
Male ,24,12,Marketing Manager,Business,Mathematics,English Language,Marketing,Social,BSc. Administration - Legon Campus (Full-Fee Paying)
Female,17,13,IT Systems Security Manager,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology (Full-Feepaying)
Female,30,19,Research scientist,Biology,Chemistry,Physics,Science,Logical,BSc. Biological Sciences
Male ,19,7,Medical Science Liaison,Biology,Chemistry,Mathematics,Science,Logical,Doctor of Pharmacy
Female,26,7,Neurosurgeon,Biology,Chemistry,Physics,Science,Reflective,Bachelor of Surgery
Male ,30,23,Psychologist,Biology,Chemistry,Psychology,Psychology,Logical,Bachelor of Arts City Campus
Female,28,21,Art Therapist,Creative Arts,Psychology,Biology,Psychology,Verbal,Bachelor of Arts Full-Fee Paying
Male ,24,8,Psychologist,Biology,Chemistry,Psychology,Psychology,Logical,Bachelor of Arts (Business/Science/ Vocational Background)
Female,31,18,Ecologist,Biology,Geography,Chemistry,Environment,Reflective,BSc. Biological Sciences
Male ,23,11,Sports Psychologist,Psychology,Biology,English Language,Sports,Reflective,BA. Sports and Physical Culture
Female,31,18,Textbook Editor,English Language,Social Studies,Mathematics,Literature,Linguistic,B.Ed. (JHS Specialism)
Male ,17,18,DevOps Engineer,Mathematics,ICT,Physics,Technology,Logical,BSc. Mathematical Sciences
Male ,26,13,User Experience Designer,ICT,Creative Arts,Psychology,Technology,Visual,BSc. Information Technology (Full-Feepaying)
Female,29,15,Irrigation Engineer,Mathematics,Physics,Chemistry,Agriculture,Logical,BSc. Agricultural Engineering
Male ,27,19,Agricultural Equipment Design Engineer,Mathematics,Physics,General Knowledge in Art,Agriculture,Logical,BSc. Agricultural Engineering
Male ,30,12,Biomedical Research Scientist,Biology,Chemistry,Physics,Science,Analytical,BSc. Biomedical Engineering (Full-Feepaying)
Female,25,23,Advertising Copywriter,English Language,Creative Arts,Business,Advertising,Verbal,Bachelor of Arts Full-Fee Paying
Female,22,11,Respiratory Therapist,Biology,Chemistry,Physics,Science,Auditory,BSc. Respiratory Therapy
Female,21,6,Pediatric Physical Therapist,Biology,Social Studies,Chemistry,Science,Verbal,BSc. Physiotherapy
Female,16,12,Healthcare Administrator,Mathematics,Economics,Business,Business,Logical,BSc. Biomedical Engineering (Full-Feepaying)
Male ,14,14,IT Manager,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology (Full-Feepaying)
Male ,20,14,Environmental Engineer,Mathematics,Physics,Chemistry,Environment,Logical,BSc. Agricultural Engineering
Female,23,6,Cytotechnologist,Biology,Chemistry,Science,Science,Visual,BSc. Medical Laboratory Sciences
Female,26,14,Drama Teacher,Theater Arts,English Language,Creative Arts,Drama,Visual,BSc. Education
Female,22,14,Quality Control Analyst,Biology,Chemistry,Physics,Food Science,Analytical,BSc. Food Process Engineering
Female,17,12,Regulatory Affairs Specialist,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering
Female,16,16,Forensic Scientist,Biology,Chemistry,Physics,Science,Analytical,BSc. Physical Sciences
Female,16,9,IT Systems Security Manager,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology
Female,19,22,Foreign Language Teacher,French,Linguistics,Linguistics,Languages,Verbal,Bachelor of Arts Full-Fee Paying
Female,22,14,Technical Support Specialist,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology (Full-Feepaying)
Female,31,28,Business Development Manager,Business,Economics,Mathematics,Business,Verbal,BSc. Administration - Distance Education
Male ,27,22,Oceanographer,Biology,Chemistry,Physics,Science,Naturalistic,BSc. Earth Sciences
Male ,17,18,Biomaterials Engineer,Physics,Chemistry,Biology,Science,Verbal,BSc. Materials Science & Engineering (Full-Feepaying)
Female,28,27,Small Business Owner,Business,Business,Economics,Business,Global,BSc. Administration - Distance Education
Male ,15,8,DevOps Engineer,Mathematics,ICT,ICT,Technology,Analytical,BSc. Computer Engineering
Female,15,8,Public Relations Manager,English Language,Business,Social Studies,Communications,Verbal,BSc. Administration - Legon Campus
Female,15,14,Pediatric Physical Therapist,Biology,Social Studies,Chemistry,Science,Verbal,BSc. Physiotherapy
Male ,20,29,Stockbroker,Mathematics,Economics,Business,Finance,Logical,BSc. Administration - Distance Education
Female,20,24,Hydrologist,Geography,Physics,Mathematics,Science,Analytical,BSc. Earth Sciences
Female,28,12,Biomedical Engineer,Biology,Chemistry,Physics,Science,Logical,BSc. Biomedical Engineering (Full-Feepaying)
Female,25,20,Volcanologist,Science,Physics,Mathematics,Science,Visual,BSc. Earth Sciences
Male ,25,16,Research and Development Manager,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering
Male ,26,21,Event Planner,Business,Creative Arts,English Language,Event Planning,Social,Bachelor of Arts City Campus
Female,19,22,Geologist,Science,Mathematics,Physics,Science,Visual,BSc. Earth Sciences
Female,22,6,Pediatric Nurse,Biology,Chemistry,English Language,Science,Musical,BSc. Nursing
Male ,22,6,Oceanographer,Biology,Chemistry,Physics,Science,Analytical,BSc. Physical Sciences
Male ,25,7,Environmental Health and Safety Specialist,Chemistry,Physics,Mathematics,Science,Logical,BSc. Biomedical Engineering
Female,23,8,Software Test Engineer,ICT,Mathematics,Physics,Technology,Logical,BSc. Computer Engineering
Female,29,8,Pharmaceutical Scientist,Biology,Chemistry,Physics,Science,Analytical,Doctor of Pharmacy
Female,17,8,Blockchain Engineer,ICT,Mathematics,ICT,Technology,Logical,BSc. Computer Engineering
Female,14,7,Market Research Analyst,Mathematics,Mathematics,Business,Marketing,Logical,BSc. Administration - Legon Campus
Male ,27,15,Data Security Analyst,Mathematics,ICT,Physics,Technology,Logical,BSc. Mathematical Sciences
Male ,27,14,Art Director,Creative Arts,General Knowledge in Art,General Knowledge in Art,Arts,Visual,Bachelor of Arts (General Arts Background)
Female,27,10,Actor,English Language,Theater Arts,Creative Arts,Performing Arts,Kinesthetic,Bachelor of Arts (Business/Science/ Vocational Background)
Male ,21,23,Information Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology - Distance Education
Female,20,8,Nurse Midwife,Biology,Chemistry,English Language,Science,Social,BSc. Nursing
Male ,18,7,Education Technology Specialist,English Language,Mathematics,ICT,Education,Spatial,BA. Education
Male ,20,7,Research and Development Manager,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering
Male ,19,9,Educational Psychologist,Psychology,Social Studies,English Language,Education,Verbal,BSc. Psychology
Male ,23,13,Ecologist,Biology,Geography,Chemistry,Environment,Reflective,BSc. Biological Sciences
Female,14,11,Software Architect,ICT,ICT,Mathematics,Technology,Logical,BSc. Mathematical Sciences
Female,29,14,Athletic Director,Physical Education,Business,Social Studies,Sports,Social,BA. Sports and Physical Culture
Female,21,6,Chief Financial Officer (CFO),Business,Economics,Business,Business,Logical,BSc. Administration - Legon Campus
Male ,28,10,Full-Stack Developer,ICT,Mathematics,ICT,Technology,Logical,BSc. Computer Engineering (Full-Feepaying)
Female,15,10,Financial Analyst,Mathematics,Business,Business,Business,Analytical,BSc. Mathematical Sciences
Male ,25,22,Dancer,Creative Arts,Biology,Physics,Arts,Kinesthetic,Bachelor of Fine Arts
Male ,23,24,Psychologist,Biology,Chemistry,Psychology,Psychology,Logical,Bachelor of Arts Full-Fee Paying
Female,30,15,Accountant,Mathematics,Economics,Business,Accounting,Logical,BSc. Administration - City Campus
Female,29,11,Zoologist,Biology,Chemistry,Geography,Animals,Naturalistic,BSc. Biological Sciences
Female,14,15,Respiratory Therapist,Biology,Chemistry,Physics,Fitness,Visual,BSc. Respiratory Therapy
Female,28,13,IT Project Manager,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology (Full-Feepaying)
Male ,21,7,Sports Psychologist,Physical Education,Biology,Psychology,Sports,Kinesthetic,BSc. Psychology
Male ,19,8,Cyber Security Engineer,Mathematics,Mathematics,ICT,Technology,Analytical,BSc. Computer Engineering
Male ,18,7,DevOps Engineer,Mathematics,ICT,ICT,Technology,Analytical,BSc. Computer Engineering
Female,23,9,Orthopedic Physical Therapist,Biology,Chemistry,Mathematics,Engineering,Visual,BSc. Physiotherapy
Male ,16,13,Information Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology (Full-Feepaying)
Female,16,10,Blockchain Engineer,ICT,Mathematics,ICT,Technology,Logical,BSc. Computer Engineering (Full-Feepaying)
Male ,18,14,Occupational Therapist,English Language,Biology,Chemistry,Arts,Verbal,BSc. Occupational Therapy
Female,28,17,English Teacher,English Language,Social Studies,Creative Arts,Education,Verbal,BA. Education (English)
Female,21,12,Research Psychologist,Mathematics,Mathematics,Biology,Science,Analytical,BSc. Psychology
Male ,31,9,Marketing Manager,Business,Mathematics,English Language,Marketing,Social,BSc. Administration - Legon Campus
Female,26,13,Dietitian,Biology,Home Business Studies,Chemistry,Cooking,Logical,BSc. Biological Sciences
Female,23,11,User Interface Designer,Creative Arts,ICT,English Language,Arts,Visual,BSc. Mathematical Sciences
Female,17,6,Information Technology Manager,ICT,Mathematics,Business,Technology,Analytical,BSc. Computer Engineering
Female,19,14,Actor,English Language,Theater Arts,Creative Arts,Performing Arts,Kinesthetic,Bachelor of Arts (General Arts Background)
Male ,26,23,Art Teacher,General Knowledge in Art,English Language,Creative Arts,Arts,Spatial,BSc. Education
Female,18,6,Surgeon,Biology,Chemistry,Physics,Science,Visual,Bachelor of Medicine
Male ,29,15,Manufacturing Manager,Mathematics,Physics,Chemistry,Food Science,Analytical,BSc. Food Process Engineering
Female,16,10,Chief Operating Officer (COO),Business,Economics,Mathematics,Business,Logical,BSc. Administration - Legon Campus (Full-Fee Paying)
Female,14,19,Regulatory Affairs Specialist,Biology,Chemistry,Mathematics,Food Science,Analytical,BSc. Food Process Engineering (Full-Feepaying)
Male ,17,21,Information Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology - Distance Education
Male ,31,14,Information Systems Security Manager,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology (Full-Feepaying)
Female,19,10,Veterinary Technician,Biology,Chemistry,Mathematics,Science,Kinesthetic,Doctor of Veterinary Medicine
Female,27,16,Artificial Intelligence Engineer,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology - Distance Education
Male ,26,16,Dancer,Creative Arts,Biology,Physics,Arts,Kinesthetic,Bachelor of Fine Arts
Female,25,14,Technical Support Specialist,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology (Full-Feepaying)
Male ,15,11,Phlebotomist,Biology,Chemistry,Science,Science,Kinesthetic,BSc. Medical Laboratory Sciences
Female,22,20,Operations Manager,Business,Mathematics,Economics,Business,Logical,BSc. Administration - City Campus
Male ,27,7,Pathologist Assistant,Biology,Chemistry,Science,Science,Verbal,BSc. Medical Laboratory Sciences
Female,31,10,Teacher Trainer,English Language,Mathematics,Creative Arts,Education,Verbal,BA. Education
Female,28,21,Accountant,Mathematics,Economics,Business,Accounting,Logical,BSc. Administration - City Campus
Male ,21,13,Information Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology (Full-Feepaying)
Male ,30,12,Entrepreneur,Business,Economics,Mathematics,Business,Global,BSc. Administration - Legon Campus (Full-Fee Paying)
Male ,26,14,Computer Programmer,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology (Full-Feepaying)
Male ,15,6,Regulatory Affairs Manager,Biology,Chemistry,Business,Business,Analytical,BSc. Biomedical Engineering
Female,20,15,Quality Control Technician,Physics,Chemistry,Mathematics,Technology,Tactile,BSc. Materials Science & Engineering
Female,17,19,Brand Manager,Business,Business,English Language,Marketing,Social,BSc. Administration - City Campus
Male ,22,14,Education Technology Specialist,English Language,Mathematics,ICT,Education,Spatial,BA. Education
Female,24,7,Family Lawyer,English Language,Social Studies,French,Psychology,Interpersonal,Bachelor of Law
Female,20,17,Operations Manager,Business,Mathematics,Economics,Business,Logical,BSc. Administration - City Campus
Male ,24,11,Clinical Psychologist,Biology,Chemistry,Mathematics,Science,Analytical,BSc. Psychology
Female,26,9,Graphic Designer,Creative Arts,General Knowledge in Art,General Knowledge in Art,Graphic Design,Visual,Bachelor of Arts (Business/Science/ Vocational Background)
Male ,16,16,Food Process Engineer,Mathematics,Biology,Chemistry,Food Science,Logical,BSc. Food Process Engineering
Female,19,21,Information Technology (IT) Manager,Computer Science,Mathematics,Physics,Technology,Logical,BSc. Administration - City Campus
Male ,23,21,Environmental Scientist,Science,Biology,Chemistry,Science,Naturalistic,BSc. Earth Sciences
Female,17,14,Geriatric Physical Therapist,Biology,Social Studies,History,History,Social,BSc. Physiotherapy
Female,25,6,Application Analyst,ICT,ICT,Mathematics,Technology,Logical,BSc. Mathematical Sciences
Female,26,6,Sculptor,Creative Arts,English Language,General Knowledge in Art,Arts,Kinesthetic,Bachelor of Fine Arts
Male ,30,8,Marketing Manager,Business,Mathematics,English Language,Marketing,Social,BSc. Administration - Legon Campus
Female,21,6,Radiologist,Biology,Chemistry,Physics,Science,Visual,Bachelor of Medicine
Female,28,9,Director,Creative Arts,English Language,History,Arts,Visual,Bachelor of Fine Arts
Female,28,9,Product Development Engineer,Physics,Chemistry,Mathematics,Engineering,Logical,BSc. Materials Science & Engineering
Female,17,6,Artificial Intelligence Engineer,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology
Female,30,22,Bioprocessing Engineer,Biology,Chemistry,Physics,Agriculture,Verbal,BSc. Agricultural Engineering
Female,25,26,Brand Manager,Business,Business,English Language,Marketing,Social,BSc. Administration - Distance Education
Female,29,9,Food Scientist,Biology,Chemistry,Physics,Science,Logical,BSc. Nutrition & Dietetics
Female,21,6,Art Therapist,Creative Arts,Psychology,Biology,Psychology,Verbal,Bachelor of Arts (General Arts Background)
Male ,19,7,Marketing Manager,Business,Mathematics,English Language,Marketing,Social,BSc. Administration - Legon Campus
Male ,20,11,Art Teacher,Creative Arts,General Knowledge in Art,Education,Education,Visual,Bachelor of Arts (General Arts Background)
Male ,20,8,Veterinary Pathologist,Biology,Chemistry,Physics,Science,Reflective,Doctor of Veterinary Medicine
Female,27,8,Drug Safety Associate,Biology,Chemistry,Mathematics,Science,Logical,Doctor of Pharmacy
Female,17,6,Real Estate Lawyer,English Language,Mathematics,Economics,Business,Sequential,Bachelor of Law
Female,21,14,Speech-language pathologist,Biology,English Language,Psychology,Linguistic,Auditory,BSc. Biological Sciences
Female,15,16,Operations Manager,Business,Mathematics,Economics,Business,Logical,BSc. Administration - City Campus
Male ,22,9,Zoologist,Biology,Chemistry,Geography,Animals,Naturalistic,BSc. Biological Sciences
Male ,14,12,Epidemiologist,Mathematics,Biology,Chemistry,Science,Analytical,BSc. Biomedical Engineering (Full-Feepaying)
Female,18,6,Sustainable Agriculture Specialist,Agricultural Science,Biology,Chemistry,Environment,Logical,BSc. Agricultural Engineering
Female,26,20,Writer,English Language,Creative Arts,History,Literature,Linguistic,Bachelor of Arts City Campus
Female,15,25,Market Research Analyst,Mathematics,Mathematics,Business,Marketing,Logical,BSc. Administration - Distance Education
Male ,17,13,Network and Computer Systems Administrator,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology (Full-Feepaying)
Male ,14,8,Compounding Pharmacist,Chemistry,Mathematics,Biology,Science,Logical,Doctor of Pharmacy
Female,31,19,Graphic Designer,Creative Arts,General Knowledge in Art,General Knowledge in Art,Graphic Design,Visual,Bachelor of Arts City Campus
Male ,20,7,Trauma Surgeon,Biology,Chemistry,Physics,Science,Verbal,Bachelor of Surgery
Female,31,6,Laboratory Director,Biology,Chemistry,Business,Science,Logical,BSc. Medical Laboratory Sciences
Female,27,7,Law Firm Administrator,English Language,Mathematics,Economics,Business,Sequential,Bachelor of Law
Male ,27,20,Information Security Analyst,ICT,Mathematics,Physics,Technology,Analytical,BSc. Information Technology - Distance Education
Male ,18,8,Marketing Manager,Business,Mathematics,English Language,Marketing,Social,BSc. Administration - Legon Campus
Female,17,8,DevOps Engineer,Mathematics,ICT,ICT,Technology,Analytical,BSc. Computer Engineering
Male ,22,9,Applications Architect,ICT,ICT,Mathematics,Technology,Logical,BSc. Computer Engineering
Male ,19,9,Software Developer,ICT,Mathematics,Physics,Technology,Logical,BSc. Information Technology
Male ,21,16,Manufacturing Manager,Mathematics,Physics,Chemistry,Food Science,Analytical,BSc. Food Process Engineering
Male ,25,7,Pediatric Surgeon,Biology,Chemistry,Physics,Science,Naturalistic,Bachelor of Surgery
Female,22,23,Journalist,English Language,Creative Arts,Social Studies,Journalism,Verbal,Bachelor of Arts City Campus
Male ,16,24,Data Analyst,Mathematics,Mathematics,Computer Science,Data Analysis,Logical,BSc. Administration - City Campus
Male ,28,11,Advertising Manager,English Language,Business,Business,Marketing,Verbal,BSc. Administration - Legon Campus (Full-Fee Paying)
Female,31,15,Brand Manager,Business,Business,English Language,Marketing,Social,BSc. Administration - City Campus
Female,15,7,Anesthesiologist,Biology,Chemistry,Physics,Science,Logical,Bachelor of Surgery
Female,21,16,Educational Researcher,English Language,Mathematics,Science,Education,Analytical,BA. Education
Female,18,7,Compounding Pharmacist,Chemistry,Mathematics,Biology,Science,Logical,Doctor of Pharmacy
Female,31,7,Pharmaceutical Sales Representative,Business,Business,English Language,Business,Social,Doctor of Pharmacy
Male ,14,16,Marketing Manager,Business,Mathematics,English Language,Marketing,Social,BSc. Administration - City Campus
Female,17,12,Registered Dietitian,Biology,Chemistry,Mathematics,Nutrition,Visual,BSc. Nutrition & Dietetics
Female,26,7,Prosthodontist,Biology,Chemistry,Physics,Science,Social,Bachelor of Dental Surgery
Female,17,25,Management Analyst,Business,Mathematics,Economics,Business,Logical,BSc. Administration - Distance Education
Female,24,19,Sustainable Agriculture Specialist,Agricultural Science,Biology,Chemistry,Environment,Logical,BSc. Agricultural Engineering
Female,15,9,Forensic Psychologist,Biology,Chemistry,English Language,Technology,Logical,BSc. Psychology
Female,15,6,Curator,Creative Arts,History,General Knowledge in Art,Arts,Visual,Bachelor of Fine Arts
Male ,14,9,Pathologist Assistant,Biology,Chemistry,Science,Science,Verbal,BSc. Medical Laboratory Sciences
Male ,28,11,Anthropologist,Social Studies,History,English Language,Anthropology,Global,Bachelor of Arts (General Arts Background)
Female,27,6,Operations Manager,Business,Mathematics,Economics,Business,Logical,BSc. Administration - Legon Campus
Male ,24,8,Obstetrician-gynecologist,Biology,Chemistry,Physics,Science,Logical,BSc. Midwifery
Female,16,7,Corporate Lawyer,English Language,Mathematics,Economics,Business,Logical,Bachelor of Law
Female,24,12,Musician,Theater Arts,Creative Arts,English Language,Music,Auditory,Bachelor of Arts (Business/Science/ Vocational Background)
Male ,26,6,Systems Analyst,ICT,Mathematics,Business,Technology,Logical,BSc. Information Technology
Female,19,22,Agricultural Equipment Design Engineer,Mathematics,Physics,General Knowledge in Art,Agriculture,Logical,BSc. Agricultural Engineering
Female,17,11,Financial Analyst,Mathematics,Economics,Business,Finance,Logical,BSc. Administration - Legon Campus (Full-Fee Paying)
Male ,23,9,Medical Scientist,Biology,Chemistry,Physics,Science,Analytical,BSc. Biomedical Engineering
Male ,24,12,Soil Scientist,Biology,Chemistry,Physics,Agriculture,Verbal,BSc. Agricultural Engineering
Female,21,9,Actor,English Language,Theater Arts,Creative Arts,Performing Arts,Kinesthetic,Bachelor of Arts (General Arts Background)
Male ,18,7,Psychiatrist,Biology,Psychology,English Language,Arts,Solitary,Bachelor of Medicine
